Date,Open,High,Low,Close*,Adj Close**,Volume
"Sep 13, 2023",22.83,22.92,22.82,22.91,22.91,59
"Sep 12, 2023",22.94,23.13,22.93,23.13,23.13,59
"Sep 11, 2023",22.92,23.14,22.92,23.1,23.1,138
"Sep 08, 2023",23.1,23.15,22.89,22.89,22.89,28
"Sep 07, 2023",23.09,23.13,22.91,22.95,22.95,97
"Sep 06, 2023",23.51,23.62,23.14,23.21,23.21,357
"Sep 05, 2023",24.2,24.33,23.53,23.56,23.56,150
"Sep 01, 2023",24.49,24.84,24.2,24.23,24.23,229
"Aug 31, 2023",24.67,24.7,24.45,24.47,24.47,738
"Aug 30, 2023",24.78,25.06,24.57,24.73,24.73,"7,105"
"Aug 29, 2023",24.78,24.78,24.78,24.78,24.78,"52,924"
"Aug 28, 2023",24.24,24.24,24.24,24.24,24.24,11
"Aug 25, 2023",24.08,24.22,24.08,24.22,24.22,11
"Aug 24, 2023",24.28,24.31,24.21,24.21,24.21,6
"Aug 23, 2023",24.36,24.36,24.36,24.36,24.36,2
"Aug 22, 2023",23.34,23.42,23.34,23.42,23.42,2
"Aug 21, 2023",22.78,23.3,22.78,23.3,23.3,3
"Aug 18, 2023",22.69,22.69,22.69,22.69,22.69,-
"Aug 17, 2023",22.6,22.95,22.6,22.67,22.67,27
"Aug 16, 2023",22.66,22.66,22.48,22.48,22.48,7
"Aug 15, 2023",22.45,22.59,22.45,22.59,22.59,11
"Aug 14, 2023",22.41,22.64,22.41,22.64,22.64,21
"Aug 11, 2023",22.67,22.67,22.67,22.67,22.67,5
"Aug 10, 2023",22.75,22.75,22.75,22.75,22.75,5
"Aug 09, 2023",22.65,22.65,22.65,22.65,22.65,5
"Aug 08, 2023",22.96,22.97,22.72,22.72,22.72,5
"Aug 07, 2023",23.48,23.48,23.07,23.14,23.14,50
"Aug 04, 2023",23.6,23.63,23.38,23.62,23.62,62
"Aug 03, 2023",23.58,23.61,23.43,23.59,23.59,56
"Aug 02, 2023",24.15,24.15,23.75,23.75,23.75,8
"Aug 01, 2023",24.58,24.58,24.18,24.21,24.21,11
"Jul 31, 2023",24.21,24.85,24.21,24.85,24.85,169
"Jul 28, 2023",24.23,24.37,24.22,24.37,24.37,78
"Jul 27, 2023",24.24,24.24,24.24,24.24,24.24,96
"Jul 26, 2023",24.6,24.83,24.6,24.83,24.83,15
"Jul 25, 2023",24.55,24.74,24.55,24.68,24.68,65
"Jul 24, 2023",24.44,24.44,24.44,24.44,24.44,10
"Jul 21, 2023",24.7,24.7,24.7,24.7,24.7,-
"Jul 20, 2023",25.28,25.28,24.81,24.81,24.81,215
"Jul 19, 2023",25.25,25.25,25.05,25.22,25.22,7
"Jul 18, 2023",24.97,25.1,24.97,25.08,25.08,657
"Jul 17, 2023",24.92,24.92,24.84,24.84,24.84,16
"Jul 14, 2023",24.91,25.01,24.8,25.01,25.01,54
"Jul 13, 2023",24.3,24.82,24.3,24.77,24.77,138
"Jul 12, 2023",23.14,24.12,23.14,24.12,24.12,145
"Jul 11, 2023",23.23,23.31,23.09,23.09,23.09,371
"Jul 10, 2023",23.05,23.15,22.76,23.15,23.15,126
"Jul 07, 2023",22.86,23.11,22.86,23.09,23.09,44
"Jul 06, 2023",23.16,23.24,22.69,22.69,22.69,81
"Jul 05, 2023",22.92,23.32,22.92,23.2,23.2,236
"Jul 03, 2023",22.76,23,22.7,22.9,22.9,305
"Jun 30, 2023",22.53,22.81,22.34,22.81,22.81,544
"Jun 29, 2023",22.75,22.91,22.3,22.59,22.59,"6,994"
"Jun 28, 2023",22.86,22.87,22.86,22.87,22.87,"34,711"
"Jun 27, 2023",22.94,22.94,22.94,22.94,22.94,1
"Jun 26, 2023",22.81,22.85,22.81,22.81,22.81,6
"Jun 23, 2023",22.33,22.33,22.33,22.33,22.33,-
"Jun 22, 2023",22.44,22.44,22.44,22.44,22.44,3
"Jun 21, 2023",22.77,22.77,22.77,22.77,22.77,-
"Jun 20, 2023",23.19,23.19,23.19,23.19,23.19,-
"Jun 16, 2023",24.08,24.08,24.08,24.08,24.08,-
"Jun 15, 2023",23.89,23.89,23.89,23.89,23.89,1
"Jun 14, 2023",24.04,24.04,24.04,24.04,24.04,-
"Jun 13, 2023",23.76,23.76,23.76,23.76,23.76,-
"Jun 12, 2023",24.28,24.28,23.99,23.99,23.99,1
"Jun 09, 2023",24.39,24.39,24.33,24.33,24.33,3
"Jun 08, 2023",23.52,24.26,23.52,24.26,24.26,4
"Jun 07, 2023",23.44,23.44,23.44,23.44,23.44,-
"Jun 06, 2023",23.57,23.57,23.57,23.57,23.57,62
"Jun 05, 2023",23.53,23.53,23.53,23.53,23.53,-
"Jun 02, 2023",23.84,23.84,23.64,23.64,23.64,6
"Jun 01, 2023",23.88,23.88,23.88,23.88,23.88,92
"May 31, 2023",23.33,23.58,23.33,23.47,23.47,13
"May 30, 2023",23.28,23.37,22.93,23.13,23.13,687
"May 26, 2023",23.13,23.24,23.11,23.24,23.24,282
"May 25, 2023",22.87,22.99,22.79,22.79,22.79,23
"May 24, 2023",23.43,23.48,23.07,23.11,23.11,13
"May 23, 2023",23.5,23.63,23.15,23.47,23.47,176
"May 22, 2023",23.67,23.72,23.67,23.72,23.72,27
"May 19, 2023",23.92,23.95,23.92,23.92,23.92,64
"May 18, 2023",23.47,23.58,23.38,23.5,23.5,123
"May 17, 2023",23.58,23.82,23.58,23.75,23.75,20
"May 16, 2023",23.91,24.02,23.74,23.74,23.74,9
"May 15, 2023",24.07,24.14,23.92,24.13,24.13,96
"May 12, 2023",23.78,24.21,23.78,23.99,23.99,26
"May 11, 2023",25.18,25.22,24.17,24.25,24.25,298
"May 10, 2023",25.58,25.98,25.37,25.46,25.46,92
"May 09, 2023",25.5,25.72,25.44,25.7,25.7,130
"May 08, 2023",25.72,25.72,25.64,25.64,25.64,175
"May 05, 2023",26.2,26.2,25.26,25.74,25.74,113
